name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance	superkingdom	kingdom	phylum	class	order	family	genus
root	1	no rank	0	1647	979	0.0 							
Bacteria	2	superkingdom	0	21266	6878	0.0 	Bacteria						
Azorhizobium	6	genus	0	174	0	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium
Azorhizobium caulinodans	7	species	32114	257	2	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Azorhizobium
Buchnera aphidicola	9	species	898280	7651	3445	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera
Cellvibrio	10	genus	0	45	0	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio
Cellulomonas gilvus	11	species	0	150	0	0.0 	Bacteria		Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas
Dictyoglomus	13	genus	0	42	0	0.0 	Bacteria		Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus
Dictyoglomus thermophilum	14	species	17577	75	2	0.0 	Bacteria		Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus
Methylophilus	16	genus	0	10	0	0.0 	Bacteria		Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylophilus
Methylophilus methylotrophus	17	species	76173	44	18	0.0 	Bacteria		Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylophilus
Pelobacter	18	genus	0	107	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter
Pelobacter carbinolicus	19	species	3351	121	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter
Phenylobacterium	20	genus	0	83	0	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
Shewanella	22	genus	0	1118	110	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
Shewanella putrefaciens	24	species	295365	187	13	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
Shewanella hanedai	25	species	42718	39	4	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
Myxococcales	29	order	0	3951	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales		
Myxococcaceae	31	family	0	616	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	
Myxococcus	32	genus	0	1169	1	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus
Myxococcus fulvus	33	species	247270	610	18	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus
Myxococcus xanthus	34	species	1289384	1180	162	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus
Corallococcus macrosporus	35	species	52824	62	1	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus
Angiococcus disciformis	38	species	126068	209	40	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Archangium
Cystobacteraceae	39	family	0	298	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	
Stigmatella	40	genus	0	53	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella
Stigmatella aurantiaca	41	species	132184	580	58	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella
Cystobacter	42	genus	0	13	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Cystobacter
Cystobacter fuscus	43	species	148451	113	75	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Cystobacter
Melittangium	44	genus	0	4	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Melittangium
Melittangium lichenicola	45	species	72656	19	10	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Melittangium
Archangium	47	genus	0	152	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Archangium
Archangium gephyra	48	species	12368565	11639	7336	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Archangium
Polyangiaceae	49	family	0	280	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	
Chondromyces	50	genus	0	44	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces
Chondromyces apiculatus	51	species	7866	3	2	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces
Chondromyces crocatus	52	species	11582598	7216	4763	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces
Nannocystis	53	genus	0	4	0	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis
Nannocystis exedens	54	species	16140	52	3	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis
Sorangium cellulosum	56	species	1651100	1560	352	0.0 	Bacteria		Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium
Herpetosiphon	64	genus	0	13	0	0.0 	Bacteria		Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon
Herpetosiphon aurantiacus	65	species	35171	57	15	0.0 	Bacteria		Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon
Lysobacter	68	genus	0	718	0	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
Lysobacter enzymogenes	69	species	5892798	7809	3381	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
Caulobacter	75	genus	0	374	0	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
Hyphomicrobium	81	genus	0	348	0	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
Hyphomicrobium sp.	82	species	7961	1	1	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
Hyphomicrobium methylovorum	84	species	20455	10	8	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
Hyphomonas	85	genus	0	70	1	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphomonas
Hyphomonas jannaschiana	86	species	21854	7	6	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Hyphomonas
Leptothrix	88	genus	0	329	0	0.0 	Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales		Leptothrix
Leptothrix discophora	89	species	16729	6	5	0.0 	Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales		Leptothrix
Gallionella	96	genus	0	26	0	0.0 	Bacteria		Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Gallionella
Ancylobacter aquaticus	100	species	18229	8	1	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ancylobacter
Flectobacillus	101	genus	0	4	0	0.0 	Bacteria		Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flectobacillus
Polaribacter glomeratus	102	species	5757	25	5	0.0 	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter
Flectobacillus major	103	species	1456	4	0	0.0 	Bacteria		Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flectobacillus
Cyclobacterium marinum	104	species	11385	111	0	0.0 	Bacteria		Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacterium
Runella	105	genus	0	150	0	0.0 	Bacteria		Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Runella
Runella slithyformis	106	species	1437	129	0	0.0 	Bacteria		Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Runella
Spirosoma	107	genus	0	98	0	0.0 	Bacteria		Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma
Spirosoma linguale	108	species	8416	153	0	0.0 	Bacteria		Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma
Planctomycetales	112	order	0	678	0	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales		
Gemmata	113	genus	0	23	0	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Gemmata
Gemmata obscuriglobus	114	species	11099	13	3	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Gemmata
Pirellula sp.	117	species	24465	4	3	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Pirellula
Planctomyces	118	genus	0	110	0	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomyces
Rubinisphaera brasiliensis	119	species	3547	112	0	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera
Planctopirus limnophila	120	species	5965	48	0	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctopirus
Gimesia maris	122	species	7768	61	43	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gimesia
Pirellula	123	genus	0	24	0	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Pirellula
Blastopirellula marina	124	species	4255	5	0	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula
Pirellula staleyi	125	species	3745	83	17	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Pirellula
Planctomycetaceae	126	family	1490	201	0	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	
Isosphaera	127	genus	0	12	0	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Isosphaeraceae	Isosphaera
Isosphaera pallida	128	species	3839	79	0	0.0 	Bacteria		Planctomycetes	Planctomycetia	Planctomycetales	Isosphaeraceae	Isosphaera
Methylocystis	133	genus	0	77	1	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	Methylocystis
Spirochaetales	136	order	0	704	0	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales		
Spirochaetaceae	137	family	17038	452	2	1.62211e-05 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	
Borrelia	138	genus	0	906	177	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia
Borreliella burgdorferi	139	species	3867733	6528	1609	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella
Borrelia hermsii	140	species	1936316	6964	2601	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia
Borrelia parkeri	141	species	31347	374	10	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia
Borrelia turicatae	142	species	1315555	4087	332	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia
Borrelia anserina	143	species	13651	95	15	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia
Borrelia coriaceae	144	species	16139	127	30	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia
Borrelia sp.	145	species	18561	10	1	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia
Spirochaeta	146	genus	0	62	0	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta
Spirochaeta aurantia	147	species	38748	16	10	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta
Spirochaeta halophila	149	species	1553	1	1	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta
Spirochaeta litoralis	151	species	3035	1	0	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Oceanispirochaeta
Treponema stenostreptum	152	species	6274	2	1	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Spirochaeta thermophila	154	species	2361	240	7	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta
Treponema zuelzerae	156	species	6514	4	4	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Treponema	157	genus	0	7156	34	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Treponema denticola	158	species	378678	674	64	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Brachyspira hyodysenteriae	159	species	262831	1241	117	0.0 	Bacteria		Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira
Treponema pallidum	160	species	276080	952	82	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Treponema pallidum subsp. pallidum	161	subspecies	40673211	5	3	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Treponema phagedenis	162	species	106521	52	25	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Treponema bryantii	163	species	5945	315	82	4.58468e-29 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Treponema pectinovorum	164	species	9312	137	110	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Treponema saccharophilum	165	species	1482	64	42	2.28983e-45 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Treponema sp.	166	species	8857	21	0	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Treponema succinifaciens	167	species	0	2690	0	0.0 	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Leptospiraceae	170	family	0	51	0	0.0 	Bacteria		Spirochaetes	Spirochaetia		Leptospiraceae	
Leptospira	171	genus	308	155	4	0.0 	Bacteria		Spirochaetes	Spirochaetia		Leptospiraceae	Leptospira
Leptospira biflexa	172	species	18559	745	9	0.0 	Bacteria		Spirochaetes	Spirochaetia		Leptospiraceae	Leptospira
Leptospira interrogans	173	species	701446	4806	2150	0.0 	Bacteria		Spirochaetes	Spirochaetia		Leptospiraceae	Leptospira
Leptospira borgpetersenii	174	species	206066	2248	986	0.0 	Bacteria		Spirochaetes	Spirochaetia		Leptospiraceae	Leptospira
Leptospira interrogans serovar Hardjo	176	leaf	14046	2	0	0.0 	Bacteria		Spirochaetes	Spirochaetia		Leptospiraceae	Leptospira
Leptospira sp.	178	species	4328	2	1	0.0 	Bacteria		Spirochaetes	Spirochaetia		Leptospiraceae	Leptospira
Leptospirillum	179	genus	0	43	0	0.0 	Bacteria		Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Leptospirillum
Leptospirillum ferrooxidans	180	species	471942	325	213	0.0 	Bacteria		Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Leptospirillum
Leptonema illini	183	species	9663	2	0	0.0 	Bacteria		Spirochaetes	Spirochaetia		Leptospiraceae	Leptonema
Magnetospirillum magnetotacticum	188	species	36994	36	12	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum
Novispirillum itersonii	189	species	10755	4	4	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Novispirillum
Aquaspirillum serpens	190	species	13067	11	5	0.0 	Bacteria		Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Aquaspirillum
Azospirillum	191	genus	0	1315	0	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum
Azospirillum brasilense	192	species	14563389	16799	6287	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum
Azospirillum lipoferum	193	species	147277	718	23	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum
Campylobacter	194	genus	0	972	97	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter coli	195	species	14131468	19648	4152	0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter fetus	196	species	210586	3367	1806	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter jejuni	197	species	97838675	20463	6486	1.51246e-09 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter hyointestinalis	198	species	54673	97	7	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter concisus	199	species	2098170	2855	1675	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter curvus	200	species	23682	32	5	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter lari	201	species	2033661	6785	1198	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter mucosalis	202	species	15398	6	0	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter rectus	203	species	67847	24	13	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter showae	204	species	72517	16	4	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter sp.	205	species	36261	12	3	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter sputorum	206	species	34191	29	7	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Campylobacter jejuni-like bacterium	207	species	1364	1	1	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Helicobacter	209	genus	0	323	21	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter pylori	210	species	42836428	13953	5548	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter sp. CLO-3	211	species	5044	6	4	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter acinonychis	212	species	88595	34	3	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter cinaedi	213	species	101939	72	0	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter felis	214	species	54476	28	5	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter fennelliae	215	species	37447	15	3	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter muridarum	216	species	16729	31	8	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Helicobacter mustelae	217	species	38705	37	4	0.0 	Bacteria		Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter
Achromobacter	222	genus	0	1733	1	0.0 	Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
Achromobacter cycloclastes	223	species	24067	15	1	0.0 	Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
Achromobacter lyticus	224	species	3871	6	1	0.0 	Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
Alteromonas	226	genus	2416	692	45	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
Pseudoalteromonas carrageenovora	227	species	30194	9	2	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
Pseudoalteromonas haloplanktis	228	species	86893	69	11	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
Alteromonas sp.	232	species	25078	8	8	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
Brucella	234	genus	0	4303	2582	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella
Brucella abortus	235	species	26847489	401	99	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella
Brucella ovis	236	species	36666	2	2	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella
Flavobacterium	237	genus	0	509	29	0.0 	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Elizabethkingia meningoseptica	238	species	216351	80	16	0.0 	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia
Flavobacterium sp.	239	species	76188	8	4	0.0 	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Flavobacterium sp. U-188	242	species	3663	2	0	0.0 	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Planomicrobium okeanokoites	244	species	79958	14	2	0.0 	Bacteria		Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium
Flavobacterium aquatile	245	species	19245	107	29	0.0 	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Chryseobacterium balustinum	246	species	12340	9	3	0.0 	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
Empedobacter brevis	247	species	26718	32	14	0.0 	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Empedobacter
Terrimonas ferruginea	249	species	8223	21	8	0.0 	Bacteria		Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Terrimonas
Chryseobacterium gleum	250	species	30889	7	1	0.0 	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
Psychroflexus gondwanensis	251	species	5782	1	0	0.0 	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus
Halomonas halmophila	252	species	33128	13	4	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
Chryseobacterium indologenes	253	species	125032	22	9	0.0 	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
[Flavobacterium] lutescens	255	species	13520	9	6	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Myroides odoratus	256	species	29913	7	1	0.0 	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides
Sphingobacterium spiritivorum	258	species	26534	13	9	0.0 	Bacteria		Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
Sphingobacterium thalpophilum	259	species	27903	2	0	0.0 	Bacteria		Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
Francisella	262	genus	0	365	0	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
Francisella tularensis	263	species	1939249	8693	3178	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
Francisella tularensis subsp. novicida	264	subspecies	118515	78	19	0.0 	Bacteria		Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
Paracoccus	265	genus	0	114	0	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
Paracoccus denitrificans	266	species	227532	530	149	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
Paracoccus sp.	267	species	22602	5	4	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
Thermus	270	genus	0	732	16	0.0 	Bacteria		Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus
Thermus aquaticus	271	species	168912	340	39	0.0 	Bacteria		Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus
Thermus caldophilus	272	species	38844	36	2	0.0 	Bacteria		Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus
Thermus thermophilus	274	species	222514	886	20	0.0 	Bacteria		Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus
Thermus sp.	275	species	36977	2	2	0.0 	Bacteria		Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus
Thermus filiformis	276	species	26133	13	2	0.0 	Bacteria		Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus
Meiothermus ruber	277	species	37071	354	13	0.0 	Bacteria		Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Meiothermus
Xanthobacter	279	genus	0	106	0	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacter
Xanthobacter autotrophicus	280	species	123564	342	12	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacter
Xanthobacter flavus	281	species	100582	70	33	0.0 	Bacteria		Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacter
Comamonas	283	genus	0	198	0	0.0 	Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
Comamonas testosteroni	285	species	923078	1084	77	0 	Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
