name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance	superkingdom	kingdom	phylum	class	order	family	genus
Anastrepha suspensa	28587	species	157797	106	21	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Anastrepha
Bactrocera cucurbitae	28588	species	56882660	39502	12570	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Zeugodacus
Blepharoneura	28589	genus	0	2	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Blepharoneura
Euleia fratria	28592	species	6351	18	8	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Euleia
Eurosta cribrata	28594	species	732	6	3	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Eurosta
Gymnocarena mexicana	28598	species	2747	7	1	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Gymnocarena
Icterica seriata	28600	species	1409	16	1	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Icterica
Jamesomyia geminata	28602	species	1808	23	16	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Jamesomyia
Procecidochares	28607	genus	0	6	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Procecidochares
Procecidochares atra	28608	species	8483	3	1	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Procecidochares
Rhagoletis	28609	genus	0	80	3	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Rhagoletis
Rhagoletis pomonella	28610	species	307870	78	22	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Rhagoletis
Rhagoletis striatella	28611	species	4633	29	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Rhagoletis
Rhagoletis zephyria	28612	species	73734865	40754	14346	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Rhagoletis
Strauzia	28613	genus	0	3	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Strauzia
Strauzia vittigera	28614	species	18774	15	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Strauzia
Terellia ruficauda	28617	species	3719	2	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Terellia
Urophora	28620	genus	0	2	0	0.0 	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Tephritidae	Urophora
