name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
root	1	no rank	0	1647	979	0.0
Bacteria	2	superkingdom	0	21266	6878	0.0
Azorhizobium	6	genus	0	174	0	0.0
Azorhizobium caulinodans	7	species	32114	257	2	0.0
Buchnera aphidicola	9	species	898280	7651	3445	0.0
Cellvibrio	10	genus	0	45	0	0.0
Cellulomonas gilvus	11	species	0	150	0	0.0
Dictyoglomus	13	genus	0	42	0	0.0
Dictyoglomus thermophilum	14	species	17577	75	2	0.0
Methylophilus	16	genus	0	10	0	0.0
Methylophilus methylotrophus	17	species	76173	44	18	0.0
Pelobacter	18	genus	0	107	0	0.0
Pelobacter carbinolicus	19	species	3351	121	0	0.0
Phenylobacterium	20	genus	0	83	0	0.0
Shewanella	22	genus	0	1118	110	0.0
Shewanella putrefaciens	24	species	295365	187	13	0.0
Shewanella hanedai	25	species	42718	39	4	0.0
Myxococcales	29	order	0	3951	0	0.0
Myxococcaceae	31	family	0	616	0	0.0
Myxococcus	32	genus	0	1169	1	0.0
Myxococcus fulvus	33	species	247270	610	18	0.0
Myxococcus xanthus	34	species	1289384	1180	162	0.0
Corallococcus macrosporus	35	species	52824	62	1	0.0
Angiococcus disciformis	38	species	126068	209	40	0.0
Cystobacteraceae	39	family	0	298	0	0.0
Stigmatella	40	genus	0	53	0	0.0
Stigmatella aurantiaca	41	species	132184	580	58	0.0
Cystobacter	42	genus	0	13	0	0.0
Cystobacter fuscus	43	species	148451	113	75	0.0
Melittangium	44	genus	0	4	0	0.0
Melittangium lichenicola	45	species	72656	19	10	0.0
Archangium	47	genus	0	152	0	0.0
Archangium gephyra	48	species	12368565	11639	7336	0.0
Polyangiaceae	49	family	0	280	0	0.0
Chondromyces	50	genus	0	44	0	0.0
Chondromyces apiculatus	51	species	7866	3	2	0.0
Chondromyces crocatus	52	species	11582598	7216	4763	0.0
Nannocystis	53	genus	0	4	0	0.0
Nannocystis exedens	54	species	16140	52	3	0.0
Sorangium cellulosum	56	species	1651100	1560	352	0.0
Herpetosiphon	64	genus	0	13	0	0.0
Herpetosiphon aurantiacus	65	species	35171	57	15	0.0
Lysobacter	68	genus	0	718	0	0.0
Lysobacter enzymogenes	69	species	5892798	7809	3381	0.0
Caulobacter	75	genus	0	374	0	0.0
Hyphomicrobium	81	genus	0	348	0	0.0
Hyphomicrobium sp.	82	species	7961	1	1	0.0
Hyphomicrobium methylovorum	84	species	20455	10	8	0.0
Hyphomonas	85	genus	0	70	1	0.0
Hyphomonas jannaschiana	86	species	21854	7	6	0.0
Leptothrix	88	genus	0	329	0	0.0
Leptothrix discophora	89	species	16729	6	5	0.0
Gallionella	96	genus	0	26	0	0.0
Ancylobacter aquaticus	100	species	18229	8	1	0.0
Flectobacillus	101	genus	0	4	0	0.0
Polaribacter glomeratus	102	species	5757	25	5	0.0
Flectobacillus major	103	species	1456	4	0	0.0
Cyclobacterium marinum	104	species	11385	111	0	0.0
Runella	105	genus	0	150	0	0.0
Runella slithyformis	106	species	1437	129	0	0.0
Spirosoma	107	genus	0	98	0	0.0
Spirosoma linguale	108	species	8416	153	0	0.0
Planctomycetales	112	order	0	678	0	0.0
Gemmata	113	genus	0	23	0	0.0
Gemmata obscuriglobus	114	species	11099	13	3	0.0
Pirellula sp.	117	species	24465	4	3	0.0
Planctomyces	118	genus	0	110	0	0.0
Rubinisphaera brasiliensis	119	species	3547	112	0	0.0
Planctopirus limnophila	120	species	5965	48	0	0.0
Gimesia maris	122	species	7768	61	43	0.0
Pirellula	123	genus	0	24	0	0.0
Blastopirellula marina	124	species	4255	5	0	0.0
Pirellula staleyi	125	species	3745	83	17	0.0
Planctomycetaceae	126	family	1490	201	0	0.0
Isosphaera	127	genus	0	12	0	0.0
Isosphaera pallida	128	species	3839	79	0	0.0
Methylocystis	133	genus	0	77	1	0.0
Spirochaetales	136	order	0	704	0	0.0
Spirochaetaceae	137	family	17038	452	2	1.62211e-05
Borrelia	138	genus	0	906	177	0.0
Borreliella burgdorferi	139	species	3867733	6528	1609	0.0
Borrelia hermsii	140	species	1936316	6964	2601	0.0
Borrelia parkeri	141	species	31347	374	10	0.0
Borrelia turicatae	142	species	1315555	4087	332	0.0
Borrelia anserina	143	species	13651	95	15	0.0
Borrelia coriaceae	144	species	16139	127	30	0.0
Borrelia sp.	145	species	18561	10	1	0.0
Spirochaeta	146	genus	0	62	0	0.0
Spirochaeta aurantia	147	species	38748	16	10	0.0
Spirochaeta halophila	149	species	1553	1	1	0.0
Spirochaeta litoralis	151	species	3035	1	0	0.0
Treponema stenostreptum	152	species	6274	2	1	0.0
Spirochaeta thermophila	154	species	2361	240	7	0.0
Treponema zuelzerae	156	species	6514	4	4	0.0
Treponema	157	genus	0	7156	34	0.0
Treponema denticola	158	species	378678	674	64	0.0
Brachyspira hyodysenteriae	159	species	262831	1241	117	0.0
Treponema pallidum	160	species	276080	952	82	0.0
Treponema pallidum subsp. pallidum	161	subspecies	40673211	5	3	0.0
Treponema phagedenis	162	species	106521	52	25	0.0
Treponema bryantii	163	species	5945	315	82	4.58468e-29
Treponema pectinovorum	164	species	9312	137	110	0.0
Treponema saccharophilum	165	species	1482	64	42	2.28983e-45
Treponema sp.	166	species	8857	21	0	0.0
Treponema succinifaciens	167	species	0	2690	0	0.0
Leptospiraceae	170	family	0	51	0	0.0
Leptospira	171	genus	308	155	4	0.0
Leptospira biflexa	172	species	18559	745	9	0.0
Leptospira interrogans	173	species	701446	4806	2150	0.0
Leptospira borgpetersenii	174	species	206066	2248	986	0.0
Leptospira interrogans serovar Hardjo	176	leaf	14046	2	0	0.0
Leptospira sp.	178	species	4328	2	1	0.0
Leptospirillum	179	genus	0	43	0	0.0
Leptospirillum ferrooxidans	180	species	471942	325	213	0.0
Leptonema illini	183	species	9663	2	0	0.0
Magnetospirillum magnetotacticum	188	species	36994	36	12	0.0
Novispirillum itersonii	189	species	10755	4	4	0.0
Aquaspirillum serpens	190	species	13067	11	5	0.0
Azospirillum	191	genus	0	1315	0	0.0
Azospirillum brasilense	192	species	14563389	16799	6287	0.0
Azospirillum lipoferum	193	species	147277	718	23	0.0
Campylobacter	194	genus	0	972	97	0.0
Campylobacter coli	195	species	14131468	19648	4152	0
Campylobacter fetus	196	species	210586	3367	1806	0.0
Campylobacter jejuni	197	species	97838675	20463	6486	1.51246e-09
Campylobacter hyointestinalis	198	species	54673	97	7	0.0
Campylobacter concisus	199	species	2098170	2855	1675	0.0
Campylobacter curvus	200	species	23682	32	5	0.0
Campylobacter lari	201	species	2033661	6785	1198	0.0
Campylobacter mucosalis	202	species	15398	6	0	0.0
Campylobacter rectus	203	species	67847	24	13	0.0
Campylobacter showae	204	species	72517	16	4	0.0
Campylobacter sp.	205	species	36261	12	3	0.0
Campylobacter sputorum	206	species	34191	29	7	0.0
Campylobacter jejuni-like bacterium	207	species	1364	1	1	0.0
Helicobacter	209	genus	0	323	21	0.0
Helicobacter pylori	210	species	42836428	13953	5548	0.0
Helicobacter sp. CLO-3	211	species	5044	6	4	0.0
Helicobacter acinonychis	212	species	88595	34	3	0.0
Helicobacter cinaedi	213	species	101939	72	0	0.0
Helicobacter felis	214	species	54476	28	5	0.0
Helicobacter fennelliae	215	species	37447	15	3	0.0
Helicobacter muridarum	216	species	16729	31	8	0.0
Helicobacter mustelae	217	species	38705	37	4	0.0
Achromobacter	222	genus	0	1733	1	0.0
Achromobacter cycloclastes	223	species	24067	15	1	0.0
Achromobacter lyticus	224	species	3871	6	1	0.0
Alteromonas	226	genus	2416	692	45	0.0
Pseudoalteromonas carrageenovora	227	species	30194	9	2	0.0
Pseudoalteromonas haloplanktis	228	species	86893	69	11	0.0
Alteromonas sp.	232	species	25078	8	8	0.0
Brucella	234	genus	0	4303	2582	0.0
Brucella abortus	235	species	26847489	401	99	0.0
Brucella ovis	236	species	36666	2	2	0.0
Flavobacterium	237	genus	0	509	29	0.0
Elizabethkingia meningoseptica	238	species	216351	80	16	0.0
Flavobacterium sp.	239	species	76188	8	4	0.0
Flavobacterium sp. U-188	242	species	3663	2	0	0.0
Planomicrobium okeanokoites	244	species	79958	14	2	0.0
Flavobacterium aquatile	245	species	19245	107	29	0.0
Chryseobacterium balustinum	246	species	12340	9	3	0.0
Empedobacter brevis	247	species	26718	32	14	0.0
Terrimonas ferruginea	249	species	8223	21	8	0.0
Chryseobacterium gleum	250	species	30889	7	1	0.0
Psychroflexus gondwanensis	251	species	5782	1	0	0.0
Halomonas halmophila	252	species	33128	13	4	0.0
Chryseobacterium indologenes	253	species	125032	22	9	0.0
[Flavobacterium] lutescens	255	species	13520	9	6	0.0
Myroides odoratus	256	species	29913	7	1	0.0
Sphingobacterium spiritivorum	258	species	26534	13	9	0.0
Sphingobacterium thalpophilum	259	species	27903	2	0	0.0
Francisella	262	genus	0	365	0	0.0
Francisella tularensis	263	species	1939249	8693	3178	0.0
Francisella tularensis subsp. novicida	264	subspecies	118515	78	19	0.0
Paracoccus	265	genus	0	114	0	0.0
Paracoccus denitrificans	266	species	227532	530	149	0.0
Paracoccus sp.	267	species	22602	5	4	0.0
Thermus	270	genus	0	732	16	0.0
Thermus aquaticus	271	species	168912	340	39	0.0
Thermus caldophilus	272	species	38844	36	2	0.0
Thermus thermophilus	274	species	222514	886	20	0.0
Thermus sp.	275	species	36977	2	2	0.0
Thermus filiformis	276	species	26133	13	2	0.0
Meiothermus ruber	277	species	37071	354	13	0.0
Xanthobacter	279	genus	0	106	0	0.0
Xanthobacter autotrophicus	280	species	123564	342	12	0.0
Xanthobacter flavus	281	species	100582	70	33	0.0
Comamonas	283	genus	0	198	0	0.0
Comamonas testosteroni	285	species	923078	1084	77	0
Pseudomonas	286	genus	3934	33738	10750	0.0
Pseudomonas aeruginosa	287	species	391156441	28557	11045	0.0
Pseudoalteromonas atlantica	288	species	53953	124	5	0.0
Burkholderia cepacia	292	species	30147200	13534	1872	0.0
Brevundimonas diminuta	293	species	333886	32	9	2.05093e-07
Pseudomonas fluorescens	294	species	82368798	30976	7361	1.51672e-47
Pseudomonas fragi	296	species	10507298	4211	2006	0.0
Hydrogenophilus thermoluteolus	297	species	47411	21	13	0.0
Pseudomonas marginalis	298	species	101524	43	2	0.0
Pseudomonas mendocina	300	species	405956	889	9	0.0
Pseudomonas oleovorans	301	species	81118	28	6	0.0
Pseudomonas putida	303	species	30632879	19529	6847	0.0
Pelomonas saccharophila	304	species	32645	15	2	0.0
Ralstonia solanacearum	305	species	91698160	46287	22600	0.0
Pseudomonas sp.	306	species	858677	81	45	0.0
Pseudomonas sp. KKS102	307	species	7820	1	0	0.0
Pseudomonas sp. KWI-56	311	species	2768	1	0	0.0
Pseudomonas sp. ATCC19151	315	species	9061	80	1	0.0
Pseudomonas stutzeri	316	species	26106649	20349	6496	0.0
Pseudomonas syringae	317	species	7270664	4339	505	0.0
Pseudomonas savastanoi pv. glycinea	318	leaf	162091	161	16	0.0
Pseudomonas savastanoi pv. phaseolicola	319	leaf	438464	130	51	0.0
Pseudomonas syringae pv. syringae	321	leaf	931472	109	37	0.0
Pseudomonas amygdali pv. tabaci	322	leaf	201731	170	46	0.0
Pseudomonas syringae pv. tomato	323	leaf	316719	23	7	0.0
Ralstonia pickettii	329	species	971225	2071	172	0.0
Pseudomonas pseudoalcaligenes	330	species	5019867	4158	10	0
Pseudomonas fluorescens bv. C	335	leaf	4523	1	0	0.0
Burkholderia glumae	337	species	136398	957	7	0.0
Xanthomonas	338	genus	0	73146	20436	0.0
Xanthomonas campestris	339	species	5666327	8400	2437	0.0
Xanthomonas campestris pv. campestris	340	leaf	20266749	10269	932	0.0
Xanthomonas translucens	343	species	48488	650	9	0.0
Xanthomonas citri	346	species	166229	5324	41	7.38841e-07
Xanthomonas oryzae	347	species	145799	8274	2922	0.0
Zoogloea ramigera	350	species	27084	11	5	0.0
Azotobacter	352	genus	0	312	0	0.0
Azotobacter chroococcum	353	species	179206	1635	26	0.0
Azotobacter vinelandii	354	species	414831	2740	37	0.0
Rhizobiales	356	order	2751	9970	19	0.0
Agrobacterium	357	genus	0	711	3	0.0
Agrobacterium tumefaciens	358	species	14529397	8566	693	0.0
Agrobacterium rhizogenes	359	species	798509	299	45	0.0
Agrobacterium sp.	361	species	22344	5	4	0.0
Agrobacterium vitis	373	species	487306	292	41	0.0
Bradyrhizobium	374	genus	0	2623	148	0.0
Bradyrhizobium japonicum	375	species	11564452	7007	76	0.0
Bradyrhizobium sp.	376	species	17013039	10599	3919	0.0
Rhizobium	379	genus	0	6881	2869	0.0
Sinorhizobium fredii	380	species	509129	932	18	0.0
Mesorhizobium loti	381	species	8930240	5409	1956	0.0
Sinorhizobium meliloti	382	species	10096521	5697	2438	0.0
Rhizobium leguminosarum	384	species	9884197	4992	1002	0.0
Rhizobium leguminosarum bv. phaseoli	385	leaf	147340	23	0	0.0
Rhizobium leguminosarum bv. trifolii	386	leaf	7096403	3587	1892	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	1342025	278	50	0.0
Rhizobium sp.	391	species	247539	116	20	0.0
Sinorhizobium fredii NGR234	394	leaf	7612814	4898	2016	0.0
Rhizobium phaseoli	396	species	87781321	11078	1088	0.0
Rhizobium tropici	398	species	317774	148	14	0.0
Neorhizobium galegae	399	species	407869	605	9	0.0
Methylococcaceae	403	family	0	311	0	0.0
Methylobacillus	404	genus	0	117	0	0.0
Methylobacillus flagellatus	405	species	35577	153	4	0.0
Methylobacillus glycogenes	406	species	18837	8	2	0.0
Methylobacterium	407	genus	0	2421	140	0.0
Methylobacterium extorquens	408	species	130820	1584	20	0.0
Methylobacterium organophilum	410	species	33609	5	2	0.0
Methylobacterium specialis	411	species	2211	2	0	0.0
Methylococcus	413	genus	0	92	0	0.0
Methylococcus capsulatus	414	species	26887	195	4	0.0
Methylobacter luteus	415	species	7785	1	0	0.0
Methylomonas	416	genus	0	151	0	0.0
Methylomonas clara	417	species	6275	4	2	0.0
Methylomonas methanica	421	species	18388	87	0	0.0
Methylosinus	425	genus	0	4	0	0.0
Methylosinus trichosporium	426	species	60476	13	1	0.0
Methylosinus sp.	427	species	3755	1	1	0.0
Methylosinus sporium	428	species	54365	7	3	0.0
Methylobacter	429	genus	0	1	0	0.0
Acetobacteraceae	433	family	0	894	115	0.0
Acetobacter	434	genus	0	128	3	0.0
Acetobacter aceti	435	species	122213	46	12	0.0
Komagataeibacter hansenii	436	species	41897	6	1	0.0
Acidomonas methanolica	437	species	56865	78	12	0.0
Acetobacter pasteurianus	438	species	3532851	2622	1422	0.0
Gluconacetobacter polyoxogenes	439	species	11237	9	4	0.0
Acetobacter sp.	440	species	12792	2	2	0.0
Gluconobacter	441	genus	0	103	0	0.0
Gluconobacter oxydans	442	species	3844542	2120	986	0.0
Legionellaceae	444	family	0	96	0	0.0
Legionella	445	genus	0	155	1	0.0
Legionella pneumophila	446	species	117598201	9838	3780	0.0
Fluoribacter bozemanae	447	species	23188	10	5	0.0
Legionella erythra	448	species	17157	3	2	0.0
Legionella hackeliae	449	species	3540916	3023	1915	0.0
Legionella longbeachae	450	species	50577	78	22	0.0
Tatlockia micdadei	451	species	3304745	2257	1521	0.0
Legionella spiritensis	452	species	18422	16	2	0.0
Legionella feeleii	453	species	20849	10	4	0.0
Legionella israelensis	454	species	12814	17	17	0.0
Legionella jamestowniensis	455	species	18331	25	16	0.0
Legionella jordanis	456	species	15169	10	5	0.0
Legionella steigerwaltii	460	species	8520	19	9	0.0
Fluoribacter	461	genus	0	2	0	0.0
Fluoribacter dumoffii	463	species	24448	44	20	0.0
Fluoribacter gormanii	464	species	24497	29	5	0.0
Tatlockia	465	genus	0	9	0	0.0
Legionella maceachernii	466	species	21930	11	4	0.0
Moraxellaceae	468	family	0	413	0	0.0
Acinetobacter	469	genus	0	1428	133	0.0
Acinetobacter baumannii	470	species	143347341	28553	6530	2.92221e-09
Acinetobacter calcoaceticus	471	species	5066069	4672	605	0.0
Acinetobacter sp.	472	species	171022	53	0	0.0
Moraxella	475	genus	0	263	0	0.0
Moraxella bovis	476	species	109169	1161	44	0.0
Moraxella lacunata	477	species	27605	7	3	0.0
Moraxella nonliquefaciens	478	species	45100	26	4	0.0
Moraxella sp.	479	species	26293	37	13	0.0
Moraxella catarrhalis	480	species	4329861	4802	1349	0.0
Neisseriaceae	481	family	0	253	0	0.0
Neisseria	482	genus	0	556	8	0.0
Neisseria cinerea	483	species	64923	82	33	0.0
Neisseria flavescens	484	species	112249	23	4	0.0
Neisseria gonorrhoeae	485	species	45854932	5556	1052	0.0
Neisseria lactamica	486	species	354274	198	23	0.0
Neisseria meningitidis	487	species	136889092	11410	2958	0.0
Neisseria mucosa	488	species	123814	28	7	0.0
Neisseria polysaccharea	489	species	59398	26	1	0.0
Neisseria sicca	490	species	87019	4	1	0.0
Neisseria animalis	492	species	15759	17	12	0.0
Neisseria canis	493	species	19231	7	3	0.0
Bergeriella denitrificans	494	species	10688	5	4	0.0
Neisseria elongata	495	species	40501	129	7	0.0
Psychrobacter	497	genus	0	1017	314	0.0
Psychrobacter immobilis	498	species	25147	26	12	0.0
Thermomicrobium	499	genus	0	12	0	0.0
Thermomicrobium roseum	500	species	16145	26	4	0.0
Kingella kingae	504	species	2241104	1853	1202	0.0
Alcaligenaceae	506	family	0	1215	0	0.0
Alcaligenes	507	genus	974	27	0	0.0
Alcaligenes faecalis	511	species	5055283	2369	1498	0.0
Alcaligenes sp.	512	species	61407	1	0	0.0
Alcaligenes hydrogenophilus	516	species	10012	4	2	0.0
Bordetella	517	genus	0	3166	14	0.0
Bordetella bronchiseptica	518	species	15781630	9030	1275	0.0
Bordetella parapertussis	519	species	9380704	7431	9	0.0
Bordetella pertussis	520	species	271977207	6410	527	0.0
Bordetella avium	521	species	66631	98	8	0.0
Acidiphilium	522	genus	0	181	0	0.0
Acidiphilium angustum	523	species	7466	1	0	0.0
Acidiphilium cryptum	524	species	24353	106	0	0.0
Acidocella facilis	525	species	7363	5	4	0.0
Acidiphilium rubrum	526	species	19918	2	1	0.0
Ochrobactrum	528	genus	0	115	0	0.0
Ochrobactrum anthropi	529	species	5427403	3345	861	0.0
Beijerinckia	532	genus	0	28	0	0.0
Beijerinckia indica	533	species	5701	86	0	0.0
Chromobacterium	535	genus	0	320	0	0.0
Chromobacterium violaceum	536	species	173441	279	27	0.0
Iodobacter fluviatilis	537	species	6553	1	0	0.0
Eikenella	538	genus	0	2	0	0.0
Eikenella corrodens	539	species	83038	53	34	0.0
Zymomonas	541	genus	0	30	0	0.0
Zymomonas mobilis	542	species	119165	1149	601	0.0
Enterobacteriaceae	543	family	0	7327	587	0.0
Citrobacter	544	genus	0	371	0	0.0
Citrobacter koseri	545	species	5182741	3343	505	0.0
Citrobacter freundii	546	species	30139860	12430	2615	3.25652e-152
Enterobacter	547	genus	0	4782	412	0.0
[Enterobacter] aerogenes	548	species	22369392	12417	937	1.53073e-08
Pantoea agglomerans	549	species	11620883	7213	2999	1.97966e-08
Enterobacter cloacae	550	species	59987426	27717	3132	2.50404e-09
Erwinia	551	genus	0	692	1	0.0
Erwinia amylovora	552	species	1516286	570	47	0.0
Pantoea ananatis	553	species	5463445	3199	238	0.0
Pectobacterium carotovorum	554	species	811317	1110	138	0.0
Pectobacterium carotovorum subsp. carotovorum	555	subspecies	815009	189	48	0.0
Dickeya chrysanthemi	556	species	788370	367	76	0.0
Escherichia	561	genus	1442	385	1	0.0
Escherichia coli	562	species	809204822	49310	12011	1.74255e-10
Shimwellia blattae	563	species	33017	760	9	0.0
Escherichia fergusonii	564	species	249537	278	5	0.0
Atlantibacter hermannii	565	species	106212	25	9	0.0
Escherichia vulneris	566	species	58131	40	7	0.0
Hafnia	568	genus	0	274	0	0.0
Hafnia alvei	569	species	9697402	5844	2915	0.0
Klebsiella	570	genus	0	2967	136	0.0
Klebsiella oxytoca	571	species	28071448	17765	2632	2.43938e-09
Klebsiella pneumoniae	573	species	251020287	27740	7253	5.46573e-10
Klebsiella pneumoniae subsp. ozaenae	574	subspecies	129646	4	1	0.0
Raoultella planticola	575	species	538148	105	5	1.26316e-07
Klebsiella sp.	576	species	43162	7	0	0.0
Raoultella terrigena	577	species	142801	29	6	0.0
Kluyvera	579	genus	0	2	0	0.0
Kluyvera cryocrescens	580	species	82798	8	1	0.0
Morganella	581	genus	0	993	0	0.0
Morganella morganii	582	species	4424923	4047	162	0.0
Proteus	583	genus	0	235	3	0.0
Proteus mirabilis	584	species	10943381	12006	2801	0.0
Proteus vulgaris	585	species	4389926	6566	168	0.0
Providencia	586	genus	0	115	0	0.0
Providencia rettgeri	587	species	646648	256	108	0.0
Providencia stuartii	588	species	9246824	7607	1672	0.0
Providencia sp.	589	species	11938	2	0	0.0
Salmonella	590	genus	202	183	0	0.0
Salmonella enterica subsp. enterica serovar Gallinarum	594	leaf	223778	28	0	0.0
Salmonella enterica subsp. enterica serovar Infantis	595	leaf	5161600	150	47	0.0
Salmonella sp.	599	species	38656	17	1	0.0
Salmonella enterica subsp. enterica serovar Thompson	600	leaf	9393894	210	5	0.0
Salmonella enterica subsp. enterica serovar Pullorum	605	leaf	4744239	70	14	0.0
Salmonella enterica subsp. enterica serovar Abortusequi	607	leaf	23017	14	5	0.0
Salmonella enterica subsp. enterica serovar Heidelberg	611	leaf	98305981	177	8	0.0
Serratia	613	genus	0	5562	599	0.0
Serratia liquefaciens	614	species	10843389	6578	734	1.81407e-08
Serratia marcescens	615	species	36205304	26399	4873	0.0
Serratia sp.	616	species	77899	7	6	0.0
Serratia odorifera	618	species	26875	8	2	0.0
Shigella	620	genus	0	1167	0	0.0
Shigella boydii	621	species	5578518	1669	138	0
Shigella dysenteriae	622	species	859691	874	38	0.0
Shigella flexneri	623	species	5733136	1761	123	1.1786e-08
Shigella sonnei	624	species	11230240	2440	90	0
Xenorhabdus	626	genus	0	260	6	0.0
Xenorhabdus nematophila	628	species	285281	342	35	0.0
Yersinia	629	genus	0	1058	72	0.0
Yersinia enterocolitica	630	species	58292877	10586	2997	0.0
Yersinia intermedia	631	species	4976296	2427	1392	0.0
Yersinia pestis	632	species	48521037	4715	525	0.0
Yersinia pseudotuberculosis	633	species	20274128	5718	454	0.0
Yersinia bercovieri	634	species	52844	35	2	0.0
Edwardsiella	635	genus	0	3263	105	0.0
Edwardsiella tarda	636	species	8246368	10734	2969	0.0
Arsenophonus	637	genus	0	59	1	0.0
Arsenophonus nasoniae	638	species	3331648	6050	3853	0.0
Vibrionaceae	641	family	0	1250	0	0.0
Aeromonas	642	genus	0	3586	336	0.0
Aeromonas hydrophila	644	species	34130892	43832	10521	0.0
Aeromonas salmonicida	645	species	780157	586	20	0.0
Aeromonas sobria	646	species	488763	87	14	0.0
Aeromonas sp.	647	species	31303	3	0	0.0
Aeromonas caviae	648	species	1190025	290	35	0.0
Aeromonas eucrenophila	649	species	85409	36	0	0.0
Aeromonas jandaei	650	species	232562	126	80	0.0
Aeromonas media	651	species	768091	453	44	0.0
Aeromonas schubertii	652	species	4491994	14095	7502	0.0
Aeromonas veronii	654	species	16236216	30263	4143	0.0
Aeromonas allosaccharophila	656	species	208484	27	10	0.0
Photobacterium	657	genus	0	162	0	0.0
Photobacterium leiognathi subsp. leiognathi	658	subspecies	9003	3	1	0.0
Photobacterium phosphoreum	659	species	397577	230	54	0.0
Photobacterium angustum	661	species	31730	26	4	0.0
Vibrio	662	genus	0	2906	345	0.0
Vibrio alginolyticus	663	species	13547967	5334	941	0.0
Vibrio alginolyticus chemovar iophagus	664	leaf	3437	2	1	0.0
Vibrio cholerae	666	species	33022755	8215	2044	0.0
Aliivibrio fischeri	668	species	928057	611	153	0.0
Vibrio harveyi	669	species	13533879	5754	991	0.0
Vibrio parahaemolyticus	670	species	40023031	10298	3052	0.0
Vibrio proteolyticus	671	species	83903	28	11	0.0
Vibrio vulnificus	672	species	27526692	10608	2787	0.0
Grimontia hollisae	673	species	4040604	2982	1837	0.0
Vibrio mimicus	674	species	9149666	5627	1811	0.0
Vibrio cincinnatiensis	675	species	28406	21	9	0.0
Vibrio fluvialis	676	species	5148820	3428	1567	0.0
Vibrio sp.	678	species	104517	15	7	0.0
Vibrio campbellii	680	species	500389	144	7	0.0
Vibrio diazotrophicus	685	species	67725	37	8	0.0
Vibrio cholerae O1 biovar El Tor	686	leaf	4366706	31	14	0.0
Vibrio gazogenes	687	species	15935	53	24	0.0
Aliivibrio logei	688	species	170977	118	23	0.0
Vibrio mediterranei	689	species	308017	27	7	0.0
Vibrio natriegens	691	species	16325074	6463	1212	0.0
Vibrio nereis	693	species	39028	13	5	0.0
Plesiomonas	702	genus	0	107	0	0.0
Plesiomonas shigelloides	703	species	3605897	3336	1846	0.0
Pasteurellaceae	712	family	0	1108	48	0.0
Actinobacillus	713	genus	0	101	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	7521723	7129	1351	0.0
Actinobacillus pleuropneumoniae	715	species	1775861	1159	142	2.69876e-07
Actinobacillus suis	716	species	77271	296	0	0.0
Actinobacillus capsulatus	717	species	54896	4	0	0.0
Actinobacillus equuli	718	species	19956	49	0	0.0
Actinobacillus hominis	719	species	11590	2	0	0.0
Actinobacillus lignieresii	720	species	31879	18	10	0.0
Actinobacillus seminis	722	species	5966	8	2	0.0
Actinobacillus ureae	723	species	6308	3	0	0.0
Haemophilus	724	genus	0	189	4	0.0
Haemophilus influenzae biotype aegyptius	725	leaf	173388	144	27	0.0
Haemophilus haemolyticus	726	species	510652	155	30	0.0
Haemophilus influenzae	727	species	12510233	8826	2602	0.0
Avibacterium paragallinarum	728	species	530884	471	90	0.0
Haemophilus parainfluenzae	729	species	180153	419	213	0.0
[Haemophilus] ducreyi	730	species	40814361	8672	2697	9.33737e-253
Histophilus somni	731	species	165487	289	24	0.0
Aggregatibacter aphrophilus	732	species	2450823	2703	793	0.0
Haemophilus haemoglobinophilus	733	species	6646	2	0	0.0
Haemophilus paracuniculus	734	species	4903	2	0	0.0
Haemophilus parahaemolyticus	735	species	32217	26	13	0.0
Haemophilus paraphrohaemolyticus	736	species	10499	7	0	0.0
[Haemophilus] parasuis	738	species	8540252	8521	1117	1.29758e-152
Aggregatibacter segnis	739	species	37813	11	1	0.0
Haemophilus sp.	740	species	4237	1	1	0.0
Pasteurella	745	genus	0	26	0	0.0
Pasteurella multocida	747	species	7297100	4808	1718	6.13119e-22
[Pasteurella] aerogenes	749	species	69683	17	7	0.0
Gallibacterium anatis	750	species	400122	375	76	0.0
Avibacterium avium	751	species	6885	2	0	0.0
Pasteurella bettyae	752	species	7907	20	6	0.0
Pasteurella canis	753	species	26973	22	11	0.0
Pasteurella dagmatis	754	species	24947	25	17	0.0
Avibacterium gallinarum	755	species	39572	18	3	0.0
[Pasteurella] mairii	757	species	22158	3	0	0.0
[Pasteurella] pneumotropica	758	species	122477	89	34	0.0
Pasteurella stomatis	760	species	11109	18	7	0.0
Pasteurella testudinis	761	species	1264	7	0	0.0
Avibacterium volantium	762	species	13349	1	0	0.0
Rickettsiales	766	order	0	284	0	0.0
Anaplasma	768	genus	0	17	0	0.0
Anaplasma centrale	769	species	74025	29	1	0.0
Anaplasma marginale	770	species	1122456	184	12	0.0
Bartonellaceae	772	family	0	42	0	0.0
Bartonella	773	genus	0	463	99	0.0
Bartonella bacilliformis	774	species	1569013	1827	25	0.0
Rickettsiaceae	775	family	0	111	0	0.0
Coxiella	776	genus	0	82	2	0.0
Coxiella burnetii	777	species	4697565	3207	999	0.0
Ehrlichia ruminantium	779	species	517892	751	147	0.0
Rickettsia	780	genus	0	5125	2913	0.0
Rickettsia conorii	781	species	131832	52	12	0.0
Rickettsia prowazekii	782	species	1180475	3436	1600	0.0
Rickettsia rickettsii	783	species	264152	759	133	0.0
Orientia tsutsugamushi	784	species	1077352	260	61	0.0
