name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Accipiter gentilis	8957	species	90476	6	4	0.0
Aegypius monachus	8959	species	38212	4	2	0.0
Aquila	8960	genus	0	212	0	0.0
Aquila audax	8961	species	17451	6	1	0.0
Aquila chrysaetos	8962	species	61037	2060	258	0.0
Haliaeetus	8968	genus	0	482	0	0.0
Haliaeetus albicilla	8969	species	46185518	5589	421	0.0
Galliformes	8976	order	0	601	0	0.0
Megapodius	8978	genus	0	3	1	0.0
Megapodius freycinet	8979	species	16947	1	0	0.0
Leipoa ocellata	8981	species	51598	4	3	0.0
Cracidae	8982	family	0	3	2	0.0
Acryllium	8991	genus	0	1	0	0.0
Acryllium vulturinum	8992	species	37213	1	1	0.0
Numida	8995	genus	0	6	0	0.0
Numida meleagris	8996	species	214323	38	23	0.0
Bonasa umbellus	9000	species	45304	3	2	0.0
Centrocercus urophasianus	9002	species	76298	27	13	0.0
Tympanuchus cupido	9004	species	186180	15	3	0.0
Phasianidae	9005	family	875	1394	13	0.0
Callipepla squamata	9009	species	55161	2	2	0.0
Colinus virginianus	9014	species	143896	21	13	0.0
Cyrtonyx	9016	genus	0	65	0	0.0
Cyrtonyx montezumae	9017	species	765760	53	27	0.0
Francolinus	9018	genus	0	4	0	0.0
Francolinus coqui	9021	species	7416	2	2	0.0
Francolinus erckelii	9022	species	5838	2	2	0.0
Francolinus francolinus	9023	species	806061	61	31	0.0
Oreortyx pictus	9029	species	33732	1	0	0.0
Gallus	9030	genus	0	265	0	0.0
Gallus gallus	9031	species	427402560	128736	53026	0.0
Gallus lafayetii	9032	species	326972	46	2	0.0
Gallus sonneratii	9033	species	406086	38	4	0.0
Gallus varius	9034	species	248525	45	3	0.0
Lophophorus impejanus	9040	species	730261	41	15	0.0
Lophura	9041	genus	0	3	0	0.0
Lophura ignita	9044	species	19071	2	2	0.0
Lophura nycthemera	9046	species	157443	5	4	0.0
Pavo cristatus	9049	species	787537	87	43	0.0
Pavo muticus	9050	species	55535	2	1	0.0
Perdix	9051	genus	0	1	0	0.0
Perdix perdix	9052	species	126705	3	2	0.0
Phasianus colchicus	9054	species	429991	24	5	0.0
Phasianus versicolor	9055	species	40031	1	1	0.0
Polyplectron	9058	genus	0	2	0	0.0
